"SamplingSize","SampleID","minsplit","minbucket","maxdepth","complexity","AvgSampleDistance","ValidError","GeneralizedError","ASEMeanError","ModelTime"
78,21,14,5,30,0.001,2255.70540155434,3.97224986348962,4.83118651924201,4.84535426285035,3.72021293640137
78,22,8,3,30,0.001,2249.74846612994,2.82101147297733,4.00829227526901,4.02356405389147,3.88122200965881
78,23,14,5,30,0.01,2247.67747963726,5.08956042159965,4.55119941454042,4.49569204203215,3.69421219825745
78,24,26,9,30,0.01,2251.88292398557,4.97020186477235,4.09947297303507,4.59511165483218,3.71121191978455
78,25,26,9,30,0.01,2250.97484389178,3.27923387557334,4.55315720073301,4.56183529995307,3.68821096420288
78,26,14,5,30,0.001,2247.71145847262,3.91302293864485,4.67143207630195,4.73319074576391,3.84522008895874
78,27,2,1,30,1e-04,2250.69851333486,2.03543477562129,4.47262960418916,4.40684591873611,3.73721385002136
78,28,8,3,30,0.01,2251.95922627004,3.79304968129006,4.75003342545951,4.47136219640081,3.74821519851685
78,29,4,1,30,0.001,2246.02307107465,5.20863350384915,5.15584105776288,4.6471874604051,3.83521890640259
78,30,15,5,30,0.01,2252.84753943707,2.00600516850013,4.39255655281005,4.43467518982181,3.67121005058289
117,1,20,7,30,0.001,2231.51634028269,5.41296777671624,4.6914591336763,4.75758278457545,4.37024998664856
117,2,25,8,30,0.01,2229.0224819233,2.60958783990636,3.73914776727642,3.74842095309262,4.53525900840759
117,3,34,11,30,0.01,2241.06126752448,3.0088880520844,4.33315257736991,4.50795868903015,4.59226179122925
117,4,20,7,30,0.01,2229.81588434765,3.29920670667087,4.33581584327935,4.44695877835316,4.83027601242065
117,5,1,0,30,0.01,2227.89780643438,3.55079809826968,4.38189169619898,4.43663747225867,4.75327110290527
117,6,29,10,30,0.01,2239.84927711382,4.40668658351448,4.52504520790423,3.89023573111099,4.58826184272766
117,7,16,5,30,0.001,2229.96984451094,2.6728146358347,4.28171194615992,4.31089863569321,4.66426706314087
117,8,17,6,30,0.001,2232.37514749726,3.90417071194498,4.18194475228447,4.16874185531645,4.55626106262207
117,9,4,1,30,1e-04,2227.57285638604,4.05119336227453,4.66751179122135,4.09552416116063,4.64226603507996
117,10,12,4,30,0.001,2232.44986981678,4.36456781839183,3.84865869070432,3.81605410150527,4.61026406288147
117,11,14,5,30,0.01,2236.56619546687,3.63084310309202,4.42102724203072,4.34923177420006,4.77127194404602
117,12,23,8,30,0.01,2230.34228484015,3.69266300809833,3.95690572209573,4.21169230686718,4.69026899337769
117,13,35,12,30,0.001,2233.9345041585,5.65770270790641,4.48273475497594,4.42596413997305,4.55026006698608
117,14,1,0,30,0.01,2228.38745542596,3.16193226663309,4.4586805038751,4.57552573213464,4.58026194572449
117,15,38,13,30,0.01,2246.38343183488,3.55319007552904,4.47591542416932,4.53814134661171,4.40725207328796
