"SamplingSize","SampleID","minsplit","minbucket","maxdepth","complexity","AvgSampleDistance","ValidError","GeneralizedError","ASEMeanError","ModelTime"
18,12,1,0,30,0.01,22.7254901960785,4.67532467532467,18.7018559525974,8.6856920148992,2.63415002822876
18,13,2,1,30,0.001,20.078431372549,1.58730158730159,26.9097990425432,18.9457013588758,2.16712379455566
18,14,2,1,30,1e-04,20.7549019607844,2.5,9.97667221429738,9.50539862868773,1.6890971660614
18,15,3,1,30,0.01,21.9313725490196,4.16666666666667,8.63796897566819,8.74357153688118,1.00605797767639
18,16,7,2,30,0.01,20.4019607843137,5.25114155251141,11.5382098690898,10.1931548007075,1.59109115600586
18,17,1,0,30,1e-05,20.1372549019608,0.358422939068104,19.6168393547841,8.47201282134738,1.54708909988403
18,18,2,1,30,0.001,21.2549019607843,2.94117647058824,14.2032738331861,12.8229705569048,1.66909503936768
18,19,1,0,30,0.01,20.578431372549,2.86944045911047,24.5945903698694,9.68841600614695,1.55608892440796
18,20,2,1,30,1e-04,20.2549019607843,0,8.42844683334989,8.27844915914768,1.24107098579407
18,21,1,0,30,0.01,20.6960784313725,28.6168521462639,30.4448663219547,17.0312413107633,1.68209600448608
18,22,2,1,30,1e-04,20.1666666666667,9.09090909090909,10.5855776392318,8.35171682379285,1.9241099357605
18,23,2,1,30,0.01,22.7843137254902,1.33333333333333,7.91633802895596,20.7265399768651,2.13712215423584
18,24,2,1,30,1e-04,19.6960784313726,2.85714285714286,11.5445223506309,10.4579977059614,1.06006002426147
18,25,2,1,30,0.01,19.3137254901961,7.89473684210526,9.87422481939319,12.2408387423554,1.97711300849915
18,26,1,0,30,0.01,22.3725490196078,0.133689839572192,26.4149794921781,30.0753235637952,1.73409914970398
18,27,2,1,30,1e-04,19.6078431372549,0,12.5085026469933,11.9465371817046,1.64909386634827
18,28,2,1,30,0.01,21.4019607843137,1.21951219512195,16.7361807069558,16.7257773744239,1.31707501411438
18,29,2,1,30,0.001,23.3725490196078,0,9.79151355880858,8.80008567333835,1.12906503677368
18,30,2,1,30,0.001,22.2254901960784,3.17460317460317,8.70962296482648,9.26652811005705,1.65809488296509
27,1,8,3,30,0.001,18.5933333333333,0.87245583717358,8.80771399930847,8.95937214856544,2.36913514137268
27,2,3,1,30,1e-04,16.8133333333333,0.694444444444444,7.62815276118752,8.53105446653128,2.57914805412292
27,3,12,4,30,0.01,19.3333333333333,2.44652406417112,10.2193895326676,9.7192191565602,2.43113994598389
27,4,1,0,30,0.01,18.0133333333333,4.12517006802721,27.3701427479945,8.3547422186374,2.98117089271545
27,5,2,1,30,0.001,17.9733333333333,6.97368421052632,7.9799111149273,9.60049671030659,1.93711090087891
27,6,2,1,30,0.01,16.0533333333333,3.01995798319328,9.80946272336059,8.58138719660647,1.99211406707764
27,7,2,1,30,1e-04,18.8733333333333,1.21951219512195,9.00231248913721,9.47515365030513,2.52214407920837
27,8,2,1,30,1e-04,18.6933333333333,7.97619047619048,7.31429416125299,7.83471329233733,2.17012405395508
27,9,5,2,30,0.001,18.2733333333333,10.6742873009996,8.70391459610194,9.81296196281464,2.03811693191528
27,10,1,0,30,0.01,20.2333333333333,11.6481122056616,8.48268569605254,9.28148129100208,3.32118988037109
27,11,2,1,30,0.001,18.8933333333333,16.4479717813051,9.40494432557226,9.95939137989643,2.18712496757507
27,12,13,4,30,0.01,18.2733333333333,2.57675438596491,12.0710199841227,8.74327268975288,1.7971031665802
27,13,2,1,30,0.001,16.9333333333333,4.89247311827957,8.62217515824855,8.89611365820637,2.4941418170929
27,14,2,1,30,0.01,19.1733333333333,10.875,9.10553991231834,9.091139505662,2.74615693092346
27,15,1,0,30,0.01,18.2133333333333,11.9007936507937,18.8940784340073,7.75313958885027,1.75609993934631
27,16,8,3,30,0.01,18.7533333333334,6.5094111969112,14.4806461532157,14.6001473363369,2.43613886833191
27,17,3,1,30,0.001,17.9333333333333,10.2910602910603,10.3752849377066,9.18673569359726,2.94516921043396
27,18,5,2,30,0.001,18.1333333333333,6.99561403508772,9.31885506143152,8.87222380576032,1.8531060218811
27,19,2,1,30,0.01,17.9533333333334,2.84900284900285,10.1834223974319,8.50176408161527,2.3781361579895
27,20,2,1,30,0.001,19.9533333333333,3.125,9.5691301687143,7.8027675579939,2.4251389503479
27,21,2,1,30,0.001,16.4333333333333,1.35135135135135,8.95686530197415,16.0070086905749,2.05911803245544
27,22,13,4,30,0.01,17.4733333333333,0.936191180093619,9.99060373048926,8.53727106840759,2.1531229019165
27,23,2,1,30,0.01,18.3133333333333,4.02777777777778,11.153682471967,9.37751822941031,1.88610816001892
27,24,2,1,30,1e-04,20.4133333333334,1.21951219512195,10.9547082971356,9.15704515905029,2.46514105796814
27,25,2,1,30,1e-04,21.5733333333333,10.7655502392344,11.2086684930944,17.5969991532557,2.26312899589539
27,26,2,1,30,0.001,16.6333333333333,3.35700997801454,8.82351098155568,7.75773165245243,2.00211501121521
27,27,4,1,30,0.001,18.7333333333333,3.12317058892401,9.4658142204488,8.11602644331084,1.9091100692749
27,28,14,5,30,0.01,17.6533333333334,3.80434066874745,18.0069374451529,7.6358223099336,1.78110098838806
27,29,10,3,30,0.01,18.8133333333333,6.87258687258687,12.3116975431167,9.59670564917485,2.36313509941101
27,30,2,1,30,0.001,17.6933333333333,5.79234972677596,12.6000342002319,7.93464730895686,1.95311188697815
36,1,2,1,30,0.001,17.5909090909091,7.11473821030693,8.2806854548173,10.3325183120044,4.07323288917542
36,2,6,2,30,0.01,16.1818181818182,8.48093413610655,8.60780814031895,8.59694350879696,2.86416411399841
36,3,15,5,30,0.01,18.0909090909091,6.05327506735957,12.3418596993093,10.7456508379792,2.44113993644714
36,4,2,1,30,0.001,17.5606060606061,4.4157848324515,8.72070437637162,8.0152260768026,2.57914686203003
36,5,2,1,30,0.01,14.6818181818182,4.63761801016703,8.67930423001793,7.6911152266949,2.98617100715637
36,6,4,1,30,0.001,15.0454545454545,3.6175903774588,9.11452320949155,8.09638943988279,2.56214690208435
36,7,5,2,30,0.001,15.3181818181818,5.59782608695652,8.46636005007496,10.1663407510615,3.21318411827087
36,8,2,1,30,1e-05,16.7878787878788,7.88038038038038,8.40886527649153,8.40174710399409,3.3581919670105
36,9,9,3,30,0.001,21.1363636363637,2.29022682970051,8.60852050817138,7.9917543689643,2.52914500236511
36,10,2,1,30,0.01,14.3030303030303,12.0999611395092,8.5210580237006,7.84048655974554,2.63015007972717
36,11,2,1,30,0.001,14.7575757575758,9.95742541424644,9.40306457393672,9.8316829653546,3.43819713592529
36,12,7,2,30,1e-04,13.8939393939394,8.61111111111111,8.63215612832304,8.11044520465759,2.62814998626709
36,13,16,5,30,0.01,15.7424242424243,4.92519176729703,17.0644826990578,8.95670625020891,3.61920690536499
36,14,5,2,30,1e-04,15.9090909090909,2.82563025210084,6.88575049266277,18.175117892164,2.89216589927673
36,15,2,1,30,0.001,17.3787878787879,5.52795031055901,9.29314933779935,7.65317922908908,2.9871711730957
36,16,16,5,30,0.01,13.3484848484848,8.01681391426918,10.086180111897,7.38352113860864,2.65215110778809
36,17,3,1,30,1e-05,16.1060606060606,2.80681378242354,7.70696547258763,14.5842224473353,3.10417795181274
36,18,2,1,30,0.01,16.6666666666667,4.10414071378617,8.25443918742684,15.6529127195105,2.92016696929932
36,19,8,3,30,1e-04,16.1363636363636,2.73353494623656,7.42477796191234,9.78418309530281,3.70621204376221
36,20,4,1,30,1e-04,15.2424242424242,6.46995375793698,6.85254678908579,15.8826673456126,2.72615599632263
36,21,2,1,30,1e-05,15.8787878787879,6.4185115347906,8.21127110129056,7.41775707632962,3.08717703819275
36,22,2,1,30,0.01,14.3333333333333,8.03362422410041,7.53101806932782,8.05186305928089,3.2051830291748
36,23,2,1,30,0.001,18.1515151515151,7.22284434490482,7.48429220943407,7.7521417203347,3.53620195388794
36,24,2,1,30,1e-04,14.7878787878788,9.66183574879227,8.56908408694813,8.08229740061686,2.79215908050537
36,25,14,5,30,0.01,16.7424242424242,8.33610833610834,18.3301716143901,7.86520194262464,2.96717000007629
36,26,5,2,30,1e-04,17.7272727272727,2.05808080808081,8.01269480119092,8.81629172287311,3.25718593597412
36,27,1,0,30,1e-04,17.9848484848485,8.86773671768073,15.5616615046871,7.98681442942228,2.66515183448792
36,28,1,0,30,1e-04,17.3333333333333,3.575789290075,8.96564581627142,8.31132328963299,3.05217385292053
36,29,5,2,30,0.001,17.8939393939394,9.17796384901648,10.4468792128071,9.85582901548404,3.8612208366394
36,30,8,3,30,0.01,15.8333333333333,6.60284101739798,10.2003870483588,10.1836893320602,2.51014304161072
45,1,5,2,30,1e-04,16.1056910569105,1.40229606273749,6.96537014636561,7.91731456842539,3.55420398712158
45,2,8,3,30,0.001,14.3008130081301,1.7272928269872,7.10630781562361,7.74660547601429,2.96217012405396
45,3,2,1,30,1e-04,13.4593495934959,1.79927492234454,6.98628175415532,7.5523419945039,4.50225806236267
45,4,4,1,30,1e-04,16.020325203252,6.49506784729166,6.67009889526318,8.57544686340796,3.6692099571228
45,5,5,2,30,0.001,17.4349593495935,7.49025219844035,7.67875213173635,8.33909532321806,3.81721782684326
45,6,8,3,30,0.001,12.4349593495935,6.68876897093699,7.15019385887545,8.02487654278977,3.59920501708984
45,7,3,1,30,1e-04,15.6666666666667,2.09821428571429,10.2986544765419,10.2431640833502,3.82521891593933
45,8,5,2,30,0.001,11.9349593495935,3.93173211171231,8.51935382837632,14.2921242844494,4.00722908973694
45,9,2,1,30,0.01,18.6910569105691,2.14069356727747,7.64775664349715,19.0485284143066,2.96816992759705
45,10,7,2,30,0.001,15.4471544715447,3.6990754585327,7.10877632865136,15.0095232413318,4.1292359828949
45,11,2,1,30,0.01,14.020325203252,9.44421523329666,7.58512647082666,8.36638398211264,4.31724691390991
45,12,2,1,30,0.001,18.0447154471545,6.43643861838116,7.19715680360299,7.83868528464111,4.86327815055847
45,13,4,1,30,0.001,16.7764227642276,13.1167763157895,7.70453164052737,7.64850926160611,4.11523485183716
45,14,2,1,30,0.01,13.0813008130081,4.11801567450751,8.26600143451317,8.08341188083089,3.03317284584045
45,15,14,5,30,0.01,14.739837398374,8.89803839515447,7.79372726494173,8.07220571323172,4.24224305152893
45,16,4,1,30,0.001,15.2154471544715,4.70290492957746,8.40695599766201,7.10735472765748,3.0301730632782
45,17,4,1,30,1e-04,14.130081300813,8.56981981981982,7.61321876551778,8.12428353290488,3.45719790458679
45,18,8,3,30,0.01,12.8739837398374,2.11266597985348,7.91799669570455,7.82749314075424,4.17923903465271
45,19,6,2,30,0.001,14.1788617886179,6.1409004198561,8.62412018380555,10.8090103272312,3.35419201850891
45,20,9,3,30,0.001,13.4715447154472,3.60023609381486,7.74674736356721,8.09910767143992,4.03823113441467
45,21,10,3,30,0.01,14.349593495935,2.83318815331011,7.93306764495171,7.87586181974077,5.40830898284912
45,22,5,2,30,0.001,13.3983739837398,3.29770305797703,8.3385443950994,8.15104965419305,3.22318506240845
45,23,7,2,30,0.001,16.3252032520325,5.09670190920191,8.23664184293271,7.9653457898973,4.3042459487915
45,24,2,1,30,1e-04,14.0813008130081,7.54296455424275,8.32595540604535,7.49267273141667,3.29918909072876
45,25,3,1,30,1e-04,12.8739837398374,3.45392297748643,7.97896119429902,8.1566517951226,4.10823488235474
45,26,2,1,30,0.001,12.1056910569106,6.12182395644283,9.02089233471751,7.54462948074626,4.01023006439209
45,27,6,2,30,1e-04,12.6666666666667,7.18379563774301,8.46143253375604,7.42609661630016,3.50120091438293
45,28,4,1,30,1e-04,15.849593495935,13.7869724160851,6.66159448839576,15.0675338571604,4.73227000236511
45,29,2,1,30,0.001,13.2276422764228,5.19431453514748,8.33127540193299,8.98703331195929,3.02817296981812
45,30,2,1,30,1e-04,15.2032520325203,1.24096303658961,6.9645726426099,8.29100397940768,4.23024201393127
