"SamplingSize","SampleID","minsplit","minbucket","maxdepth","complexity","AvgSampleDistance","ValidError","GeneralizedError","ASEMeanError","ModelTime"
22,16,10,3,30,0.01,494.400000000024,1.40368378897376,5.14949712304904,3.24803432707236,0.755043029785156
22,17,2,1,30,0.01,492.250000000024,1.21930535107972,3.10227153306901,3.07687967433147,0.751043081283569
22,18,2,1,30,0.01,491.250000000024,2.52324388003141,5.85997394728263,5.04706679427298,0.749042987823486
22,19,2,1,30,0.01,491.500000000024,2.64320704077449,4.16382932570362,4.17789015733755,0.857048988342285
22,20,12,4,30,0.01,491.000000000024,3.12483349481596,5.60535834829112,3.88051139484597,1.0150580406189
22,21,1,0,30,0.01,493.100000000024,6.45419784470392,6.17212318496449,4.42146457185978,0.949054956436157
22,22,1,0,30,0.01,495.850000000024,3.13276813931931,6.45013412580211,4.50525483502835,0.975056171417236
22,23,5,2,30,0.001,492.100000000024,2.93543810878564,3.25252446409105,3.65803892290758,0.833047151565552
22,24,2,1,30,0.01,489.650000000024,0.647581889142397,4.95888109158214,4.86992973263379,0.90605092048645
22,25,2,1,30,0.001,490.750000000024,3.79137204065576,2.75604467272849,3.14912980374427,0.94805383682251
22,26,7,2,30,0.01,491.200000000024,4.35026921352514,3.90874637775719,4.40048097120467,0.784044027328491
22,27,6,2,30,0.01,490.200000000024,0.932592074303212,3.84608828942545,4.38775940130665,0.887051105499268
22,28,2,1,30,0.001,490.750000000024,2.35191547160986,3.23327276704245,3.59469100044217,1.07006096839905
22,29,8,3,30,0.001,491.750000000024,3.44196364686195,5.11849285855966,2.82593623139443,0.975054979324341
22,30,2,1,30,0.01,494.150000000024,2.32068564006598,4.19163600087992,4.48553924482034,1.02705907821655
33,1,1,0,30,0.01,485.966666666675,1.33365190791352,6.14882377817345,3.3812292543043,1.59109115600586
33,2,15,5,30,0.01,485.533333333342,3.27221343486147,4.54580477700876,3.84289792048972,1.21706986427307
33,3,5,2,30,0.01,488.600000000008,3.48390254525042,4.05314563382981,4.00233374552047,1.25607204437256
33,4,2,1,30,0.01,487.800000000008,0.573889869909566,3.87579811665235,4.76648004903842,1.21206879615784
33,5,18,6,30,0.01,486.200000000008,2.17477174530952,5.47528022853071,4.9640372380576,1.18906807899475
33,6,10,3,30,0.01,486.133333333342,0.524150977109822,3.92492781937778,3.61822786024434,1.21906995773315
33,7,7,2,30,0.01,486.100000000008,2.64537677318044,4.85092484630216,4.61342397694636,1.37307906150818
