"SamplingSize","SampleID","minsplit","minbucket","maxdepth","complexity","AvgSampleDistance","ValidError","GeneralizedError","ASEMeanError","ModelTime"
16,1,5,2,30,0.01,560.783333333321,4.33790624209732,25.8796536779898,25.758214212494,0.825047016143799
16,2,10,3,30,0.01,559.849999999987,2.6220683144178,26.4738906899017,27.1719132347591,1.05306005477905
16,3,9,3,30,0.01,560.383333333321,9.6168454650524,14.4078752111504,10.468876044837,1.1860671043396
16,4,2,1,30,1e-04,561.383333333321,0.0527592049593673,16.7026733869114,17.960340250523,1.19106793403625
16,5,14,5,30,0.01,558.116666666654,9.33025512968503,22.3831841664568,9.30913614106904,1.07806205749512
16,6,2,1,30,0.001,558.383333333321,0.0251036718092146,7.39258663705728,8.83056043915765,0.97705602645874
16,7,2,1,30,0.01,558.449999999987,1.75933770147238,10.4265742140637,10.3702947618983,1.0990629196167
16,8,2,1,30,0.001,559.049999999987,0.030125272000169,11.789114786837,11.002557285287,0.778044939041138
16,9,1,0,30,0.01,558.583333333321,0.889982912159486,33.1320984511194,9.19624897029088,1.13806581497192
16,10,2,1,30,0.01,560.249999999987,3.67915199250533,8.21329856640687,8.48398887393599,1.2910737991333
16,11,2,1,30,0.01,559.649999999987,0.879568399780457,19.1089368776581,19.3753708265631,1.13406491279602
16,12,2,1,30,0.01,563.916666666654,0.434386501949656,9.11625137135278,17.4522168824266,1.13006401062012
16,13,1,0,30,0.01,558.649999999987,0.201114031040391,38.1783673468255,16.3278085275724,1.04906010627747
16,14,1,0,30,0.01,560.649999999987,1.43360077361256,40.4692163513634,9.06300537511355,0.742043018341064
16,15,2,1,30,1e-05,560.649999999987,3.17393740599594,8.86875628894727,9.55851789872099,1.03905892372131
16,16,5,2,30,1e-04,559.249999999987,6.4165442159991,8.53921105669432,9.85381339307868,1.14706492424011
16,17,2,1,30,0.01,560.783333333321,2.29534602321695,9.18574302782782,9.08677786469811,1.16906690597534
16,18,2,1,30,0.01,557.983333333321,2.45483391209551,8.28718880119184,10.5607656607978,1.21306920051575
